España											
Actualizado: lunes, 18 enero 2016 a las 09:00 hora oficial											
Fecha: domingo, 17 enero 2016											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Cebreros	Ávila										
Candeleda	Ávila										
Herrera del Duque	Badajoz	8.2 (14:50)	-1.9 (06:30)	3,1	19 (14:30)	12 (14:30)	0	0	0	0	0
Peraleda del Zaucejo	Badajoz										
Castuera	Badajoz										
Navalvillar de Pela	Badajoz										
Don Benito	Badajoz	9.5 (16:00)	0.6 (06:00)	5,1	29 (13:40)	12 (13:40)	0	0	0	0	0
Llerena	Badajoz	12.6 (14:50)	1.9 (05:50)	7,3	32 (04:30)	22 (04:30)	0	0	0	0	0
Villafranca de los Barros	Badajoz										
Mérida	Badajoz								0	0	0
Zafra	Badajoz										
Almendralejo	Badajoz										
Badajoz Aeropuerto	Badajoz	11.1 (16:10)	0.7 (05:40)	5,9	31 (11:30)	17 (11:20)	0	0	0	0	0
Alburquerque	Badajoz										
Puebla de Obando	Badajoz										
Badajoz	Badajoz										
Olivenza	Badajoz										
Alconchel	Badajoz										
Barcarrota	Badajoz										
Villanueva del Fresno	Badajoz										
Monesterio	Badajoz										
Fuente de Cantos	Badajoz										
Jerez de los Caballeros	Badajoz	13.7 (15:40)	1.1 (07:10)	7,4			0	0	0	0	0
Fregenal de la Sierra	Badajoz										
Azuaga	Badajoz										
Pontons	Barcelona										
Vilafranca del Penedès	Barcelona										
Barcelona Aeropuerto	Barcelona	12.0 (13:10)	1.4 (08:20)	6,7	41 (10:00)	22 (06:20)	0	0	0	0	0
Berga	Barcelona										
Balsareny	Barcelona										
Prat de Lluçanès	Barcelona										
Moià	Barcelona										
Manresa	Barcelona	8.6 (16:20)	-5.2 (08:50)	1,7	21 (07:20)	12 (07:20)	0	0	0	0	0
Monistrol de Montserrat	Barcelona										
Corbera, Pic d'Agulles	Barcelona										
Barcelona	Barcelona	13.1 (14:00)	4.3 (06:20)	8,7	25 (05:20)	15 (14:50)	0	0	0	0	0
Barcelona, Museo Marítimo	Barcelona										
Caldes de Montbui	Barcelona										
Sabadell Aeropuerto	Barcelona				19 (03:30)	13 (03:20)			0	0	0
Arenys de Mar	Barcelona	12.4 (11:40)	1.2 (03:10)	6,8	19 (06:20)	11 (08:40)	0	0	0	0	0
Santa Susana	Barcelona								0	0	0
Fogars de Montclús	Barcelona										
Tona	Barcelona	9.6 (14:10)	-6.5 (08:00)	1,6	22 (15:40)	12 (15:10)	0	0	0	0	0
Sant Julià  de Vilatorta	Barcelona	7.4 (15:40)	-7.7 (08:10)	-0,1	14 (15:50)	7 (15:20)	0	0	0	0	0
Lekeitio	Bizkaia	12.5 (14:00)	4.9 (02:40)	8,7					0	0	0
Forua	Bizkaia										
Machichaco	Bizkaia				35 (22:40)	19 (22:40)			0	0	0
Punta Galea	Bizkaia	10.3 (15:00)	2.7 (05:00)	6,5	28 (07:20)	13 (10:00)	0	0	0	0	0
Orozko	Bizkaia										
Abadiño	Bizkaia										
Amorebieta--Etxano	Bizkaia										
Balmaseda	Bizkaia										
Güeñes	Bizkaia	9.6 (20:20)	-0.3 (08:30)	4,7	26 (22:50)	12 (23:00)	0,1	0	0	0	0,1
Bilbao Aeropuerto	Bizkaia	11.0 (15:10)	0.6 (06:00)	5,8	30 (21:10)	16 (14:00)	0	0	0	0	0
Sopuerta	Bizkaia										
Coruña del Conde	Burgos										
Aranda de Duero	Burgos	6.2 (16:40)	-5.7 (04:20)	0,3	24 (20:30)	14 (20:30)	0,4	0	0	0	0,4
Pedrosa del Príncipe	Burgos										
Palacios de la Sierra	Burgos	7.6 (15:30)	-6.7 (07:10)	0,5	22 (21:50)	13 (19:00)	0,2	0	0	0	0,2
Monterrubio de la Demanda	Burgos										
Villamayor de los Montes	Burgos										
Burgos Aeropuerto	Burgos										
Santa Gadea de Alfoz	Burgos										
Sargentes de la Lora	Burgos										
Briviesca	Burgos										
Medina de Pomar	Burgos	5.9 (19:40)	-3.5 (04:40)	1,2	29 (23:20)	16 (23:20)	0,6	0	0	0	0,6
Miranda de Ebro	Burgos										
Belorado	Burgos										
Navalvillar de Ibor	Cáceres										
Madrigal de la Vera	Cáceres										
Navalmoral de la Mata	Cáceres	9.1 (15:50)	-1.6 (06:30)	3,8	20 (14:00)	13 (13:50)	0	0	0	0	0
Garganta de la Olla	Cáceres										
Serradilla	Cáceres										
Jaraicejo	Cáceres										
Trujillo	Cáceres				31 (13:30)	15 (13:30)			0	0	0
Cáceres	Cáceres	8.5 (15:20)	-0.3 (05:50)	4,1	19 (12:40)	14 (14:10)	0	0	0	0	0
Cañaveral	Cáceres										
Nuñomoral	Cáceres										
Guijo de Granadilla	Cáceres										
Hervás	Cáceres										
Montehermoso	Cáceres										
Tornavacas	Cáceres										
Piornal	Cáceres										
Plasencia	Cáceres	9.8 (16:10)	1.7 (07:50)	5,8	20 (12:20)	8 (14:30)	0	0	0	0	0
Coria	Cáceres	9.1 (15:30)	0.2 (04:50)	4,7	27 (12:50)	17 (12:50)	0	0	0	0	0
Torrecilla de los Angeles	Cáceres										
Hoyos	Cáceres										
Zarza La Mayor	Cáceres										
Valverde del Fresno	Cáceres										
Aliseda	Cáceres										
Brozas	Cáceres										
Valencia de Alcántara	Cáceres	8.9 (15:40)	0.2 (04:30)	4,5	34 (11:50)	18 (11:50)	0	0	0	0	0
Guadalupe	Cáceres										
Cañamero	Cáceres										
Zorita	Cáceres										
Alcuescar	Cáceres										
Chipiona	Cádiz										
Rota, Base Naval	Cádiz							0			0
Grazalema	Cádiz	9.8 (15:30)	0.6 (06:50)	5,2	20 (18:20)	10 (06:10)			0	0	0
Olvera	Cádiz										
El Bosque	Cádiz										
San José del Valle	Cádiz										
Jerez de la Frontera Aeropuerto	Cádiz	15.0 (14:00)	1.6 (06:50)	8,3	24 (15:50)	18 (15:50)	0	0	0	0	0
San Fernando	Cádiz	16.3 (14:00)	7.7 (07:50)	12	42 (13:00)	22 (13:00)	0	0	0	0	0
Cádiz	Cádiz	16.2 (15:10)	7.9 (07:10)	12,1	41 (13:00)	32 (13:10)	0	0	0	0	0
Medina Sidonia	Cádiz										
Vejer de la Frontera	Cádiz								0	0	0
Barbate	Cádiz										
Tarifa	Cádiz										
Jimena de la Frontera	Cádiz										
San Roque	Cádiz										
Castro Urdiales	Cantabria	11.8 (14:10)	4.4 (02:00)	8,1					0	0	0
Ramales de la Victoria	Cantabria										
Barcena de Cicero, Treto	Cantabria										
Soba, Alto Miera	Cantabria										
Santander Aeropuerto	Cantabria	10.8 (16:10)	-0.1 (04:40)	5,4	24 (21:30)	15 (21:40)	0	0	0	0	0
Santander	Cantabria	10.4 (16:20)	5.9 (02:50)	8,1	29 (04:10)	19 (05:10)	0	0	0	0	0
Villacarriedo	Cantabria										
Los Tojos, Bárcena Mayor	Cantabria										
San Felices de Buelna	Cantabria										
Torrelavega, Sierrapando	Cantabria										
San Vicente de la Barquera	Cantabria	10.5 (15:10)	1.8 (03:20)	6,1	20 (01:50)	15 (05:40)	0,4	0	0	0	0,4
Camaleño, Fuente De	Cantabria										
Cillórigo de Liébana, Tama	Cantabria										
Tresviso	Cantabria	8.6 (13:10)	1.3 (01:10)	5	0 (00:10)	0 (00:10)	2,2	0	0	0	2,2
Santillana del Mar, Altamira	Cantabria										
Reinosa	Cantabria	4.4 (17:20)	-6.6 (02:30)	-1,1	35 (17:40)	26 (16:50)	0,5	0	0	0	0,5
Valderredible, Cubillo de Ebro	Cantabria										
Valderredible, Polientes	Cantabria	7.5 (13:50)	-3.8 (03:20)	1,9	32 (19:10)	18 (19:10)			0	0	0,1
Segorbe	Castelló/Castellón										
Montanejos	Castelló/Castellón										
Villafranca del Cid/Villafranca	Castelló/Castellón	10.1 (14:30)	-2.9 (01:40)	3,6	41 (06:50)	27 (03:30)	0	0	0	0	0
Atzeneta del Maestrat	Castelló/Castellón										
Castellón de la Plana, Almazora	Castelló/Castellón	12.9 (13:10)	3.5 (08:20)	8,2	28 (02:10)	19 (02:20)	0	0	0	0	0
Torreblanca	Castelló/Castellón										
La Pobla de Benifassà-Fredes	Castelló/Castellón										
Vinaròs	Castelló/Castellón	12.3 (14:00)	-0.9 (06:30)	5,7	31 (01:00)	18 (00:50)	0	0	0	0	0
Castellfort	Castelló/Castellón	7.9 (17:20)	-2.2 (00:00)	2,9			0	0	0	0	0
Ceuta	Ceuta	15.1 (14:30)	11.6 (23:59)	13,4	41 (02:30)	24 (03:30)	0	0	0	0	0
Alcazar de San Juan	Ciudad Real										
Ciudad Real	Ciudad Real	7.6 (16:50)	-2.9 (08:20)	2,3	12 (16:10)	7 (16:10)	0	0	0	0	0
Villanueva de los Infantes	Ciudad Real										
Valdepeñas	Ciudad Real	9.2 (17:00)	-4.1 (09:20)	2,5	16 (19:50)	8 (19:50)	0	0	0	0	0
Viso del Marqués	Ciudad Real	9.5 (16:00)	-1.9 (07:50)	3,8	19 (20:00)	12 (20:00)	0	0	0	0	0
Abenójar	Ciudad Real										
Puebla de Don Rodrigo	Ciudad Real										
Almadén	Ciudad Real										
Puertollano	Ciudad Real										
Fuencaliente	Ciudad Real										
Valsequillo	Córdoba										
Hinojosa del Duque	Córdoba	12.8 (16:20)	-3.6 (07:10)	4,6	20 (15:40)	13 (14:10)	0	0	0	0	0
Cardeña	Córdoba										
Montoro	Córdoba										
Villanueva de Córdoba	Córdoba	11.3 (16:30)	0.2 (04:00)	5,8	19 (15:20)	9 (14:50)	0	0	0	0	0
Córdoba, Embalse de Guadanuño	Córdoba										
Córdoba Aeropuerto	Córdoba	14.2 (16:30)	1.1 (07:00)	7,6	24 (00:10)	18 (12:20)	0	0	0	0	0
Priego de Cordoba	Córdoba										
Doña Mencía	Córdoba	11.8 (15:10)	2.0 (04:40)	6,9	24 (01:00)	19 (01:10)	0,2	0	0	0,2	0
Córdoba, Prágdena	Córdoba										
Espiel	Córdoba										
Fuente Palmera	Córdoba										
Benamejí	Córdoba										
Aguilar de la Frontera	Córdoba										
La Rambla	Córdoba										
Cañizares	Cuenca	11.8 (15:30)	-5.1 (06:40)	3,4					0	0	0
Tarancón	Cuenca	5.9 (14:10)	-2.4 (08:10)	1,8	17 (14:00)	9 (01:40)					
Alcázar del Rey	Cuenca										
Abia de Obispalia	Cuenca										
Villares del Saz	Cuenca										
Alberca de Zancara	Cuenca										
San Clemente	Cuenca										
Osa de la Vega	Cuenca										
Belmonte	Cuenca										
Cuenca	Cuenca	10.7 (15:10)	-4.0 (08:40)	3,3	26 (01:50)	10 (02:10)	0	0	0	0	0
Motilla del Palancar	Cuenca										
Salvacañete	Cuenca										
Mira	Cuenca										
Irún	Gipuzkoa										
San Sebastián Aeropuerto	Gipuzkoa	12.6 (15:30)	5.0 (09:30)	8,8	28 (12:00)	20 (12:10)	0,1	0	0	0	0,1
Renteria	Gipuzkoa							0			
Beasain	Gipuzkoa										
Ordizia	Gipuzkoa										
Zarautz	Gipuzkoa										
Legazpia	Gipuzkoa										
Zumarraga	Gipuzkoa								0	0	1
Azpeitia	Gipuzkoa										
Zumaia	Gipuzkoa	13.1 (14:20)	3.3 (07:20)	8,2	25 (22:40)	16 (22:50)	0,1	0	0	0	0,1
Aretxabaleta	Gipuzkoa										
Elgeta	Gipuzkoa										
Elgoibar	Gipuzkoa	10.3 (15:50)	1.5 (08:40)	5,9	44 (22:20)	18 (22:10)	0,1	0	0	0	0,1
Mutriku	Gipuzkoa										
Blanes	Girona										
Castell, Platja d'Aro	Girona										
Sant Pau de Segúries	Girona										
Planoles	Girona										
Ripoll	Girona								0	0	0
Les Planes d'Hostoles	Girona										
Sant Hilari	Girona										
Girona Aeropuerto	Girona	12.3 (14:20)	-6.3 (05:10)	3	28 (14:00)	14 (14:00)	0	0	0	0	0
Girona	Girona										
Porqueres	Girona								0	0	0
L'Estartit	Girona										
La Vall de Bianya	Girona										
Castello d'Empuries	Girona										
Maçanet de Cabrenys	Girona										
Espolla	Girona										
Figueres	Girona										
La Molina	Girona	3.0 (14:30)	-7.8 (05:30)	-2,4	28 (00:50)	14 (00:50)	0	0	0	0	0
Baza	Granada	8.8 (17:10)	-6.9 (08:50)	1			0	0	0	0	0
Granada-Cartuja	Granada										
Dílar, Sierra Nevada	Granada										
Granada Aeropuerto	Granada	13.1 (16:10)	-4.2 (08:30)	4,5	15 (18:40)	11 (21:40)	0	0	0	0	0
Loja	Granada	11.6 (15:10)	0.6 (10:00)	6,1	23 (09:30)	12 (00:30)	0	0	0	0	0
Lanjarón	Granada										
Salobreña	Granada										
Motril	Granada	15.7 (11:30)	7.3 (08:40)	11,5	20 (04:30)	13 (12:10)					
Motril, Puerto	Granada										
Castell del Ferro	Granada										
Válor	Granada										
Molina de Aragón	Guadalajara	10.3 (15:40)	-7.4 (07:00)	1,5	22 (21:00)	15 (21:00)	0	0	0	0	0
Zaorejas	Guadalajara										
Pastrana	Guadalajara										
Retiendas	Guadalajara										
Sigüenza	Guadalajara	7.8 (15:20)	-7.1 (08:00)	0,4			0	0	0	0	0
Mandayona	Guadalajara										
Campisábalos	Guadalajara										
Guadalajara	Guadalajara	7.9 (14:30)	-3.2 (06:50)	2,4	17 (19:00)	10 (18:50)	0	0	0	0	0
Brihuega	Guadalajara										
El Pedregal	Guadalajara										
Aroche	Huelva										
El Granado	Huelva										
Ayamonte	Huelva	15.1 (16:00)	4.2 (07:50)	9,7	21 (12:10)	12 (12:10)	0	0	0	0	0
Cartaya	Huelva										
Alajar	Huelva	13.3 (15:50)	4.5 (07:00)	8,9	33 (00:50)	18 (00:50)	0	0	0	0	0
Valverde del Camino	Huelva										
El Cerro de Andévalo	Huelva										
Alosno, Tharsis	Huelva										
El Campillo	Huelva										
Villarrasa	Huelva										
Huelva, Ronda Este	Huelva	14.4 (15:30)	4.7 (08:20)	9,5	24 (13:20)	14 (12:40)	0	0	0	0	0
Almonte	Huelva										
Moguer, El Arenosillo	Huelva	16.0 (15:30)	5.4 (08:30)	10,7	29 (00:50)	17 (04:40)	0	0	0	0	0
Canfranc	Huesca										
Jaca	Huesca	5.3 (13:10)	-5.5 (06:40)	-0,1	18 (08:30)	11 (02:50)	0	0	0	0	0
Valle de Hecho, Hecho	Huesca										
Aragüés del Puerto	Huesca	6.0 (13:50)	-4.0 (06:50)	1	20 (01:20)	10 (01:30)	0,8	0	0	0,8	0
Bailo	Huesca										
Biescas	Huesca										
Sabiñánigo	Huesca										
Almudévar	Huesca										
Sopeira	Huesca										
Benabarre	Huesca										
Bielsa	Huesca	9.6 (14:00)	-3.9 (07:20)	2,9	33 (00:20)	13 (00:20)	0	0	0	0	0
Ainsa	Huesca										
Torla	Huesca							0	0		0
Benasque	Huesca										
Seira	Huesca										
Capella	Huesca										
Barbastro	Huesca										
Sariñena, Depósito agua	Huesca										
Huesca Aeropuerto	Huesca	7.0 (15:30)	-1.7 (06:10)	2,6				0	0	0	
Huesca	Huesca										
Lanaja	Huesca										
Ballobar	Huesca										
Tamarite de Litera	Huesca										
Fraga	Huesca										
Escorca, Lluc	Illes Balears	11.1 (13:40)	-1.3 (04:00)	4,9	23 (13:00)	6 (13:00)	0	0	0	0	0
Banyalbufar	Illes Balears										
Calvià, Es Capdellà	Illes Balears										
Palma de Mallorca, Puerto	Illes Balears	15.7 (14:50)	7.2 (23:00)	11,4	21 (13:20)	10 (04:00)			0	0	0
Palma de Mallorca, Universidad	Illes Balears										
Sierra de Alfabia, Bunyola	Illes Balears	3.6 (12:10)	-0.7 (07:20)	1,4					0	0	0
Marratxí	Illes Balears										
Palma de Mallorca, Aeropuerto	Illes Balears	14.1 (12:40)	-1.5 (05:30)	6,3	39 (12:40)	20 (13:10)	0	0	0	0	0
Palma de Mallorca, Es Pil Larí	Illes Balears										
Llucmajor, Cap Blanc	Illes Balears										
Llucmajor	Illes Balears										
Porreres	Illes Balears								0	0	0
Campos, Can Sion	Illes Balears										
Campos, Salines Llevant	Illes Balears										
Santanyí	Illes Balears										
Portocolom	Illes Balears	14.9 (15:30)	3.9 (05:10)	9,4	26 (15:40)	13 (14:10)	0	0	0	0	0
Son Servera	Illes Balears										
Artà	Illes Balears										
Capdepera	Illes Balears	15.0 (13:30)	8.5 (23:20)	11,8	81 (00:10)	66 (00:10)	0	0	0	0	0
Artà-Colònia de Sant Pere	Illes Balears										
Muro, S'Albufera	Illes Balears										
Manacor	Illes Balears										
Sineu	Illes Balears										
Santa María del Camí	Illes Balears										
Binissalem	Illes Balears										
Escorca, Son Torrella	Illes Balears										
Sa Pobla	Illes Balears									0	
Pollença	Illes Balears										
Port de Pollença	Illes Balears										
Es Mercadal	Illes Balears										
Ciutadella	Illes Balears										
Ciutadella, Cala Galdana	Illes Balears										
Menorca, Aeropuerto	Illes Balears	12.8 (15:10)	4.4 (21:00)	8,6	63 (00:10)	37 (00:10)	0	0	0	0	0
Sant Joan de Labritja	Illes Balears										
Ibiza, Aeropuerto	Illes Balears	14.7 (14:50)	1.3 (07:00)	8	37 (22:00)	28 (23:00)	0	0	0	0	0
Eivissa	Illes Balears										
Formentera	Illes Balears										
Cazorla	Jaén	12.3 (14:50)	1.0 (08:30)	6,7	13 (23:30)	7 (23:59)			0	0	0
Baeza	Jaén										
Torres	Jaén										
Arroyo del Ojanco	Jaén	11.1 (15:00)	-2.3 (06:20)	4,4	16 (01:40)	12 (00:20)			0	0	0
Villarrodrigo	Jaén	12.2 (15:30)	-1.2 (08:20)	5,5			0	0	0	0	0
Villanueva del Arzobispo	Jaén										
Jaén	Jaén	9.0 (16:30)	0.0 (07:50)	4,5	22 (20:30)	14 (20:10)	0	0	0	0	0
Linares	Jaén										
Bailén	Jaén										
Andújar	Jaén	13.8 (16:30)	-1.7 (08:40)	6,1	22 (05:10)	14 (11:20)	0	0	0	0	0
Alcalá La Real	Jaén										
Valdezcaray, estación de esquí	La Rioja										
Haro	La Rioja										
Anguiano	La Rioja										
Nájera	La Rioja										
Cenicero	La Rioja										
Logroño Aeropuerto	La Rioja	8.8 (15:20)	0.0 (07:10)	4,4	26 (12:50)	17 (12:50)	0	0	0	0	0
Enciso	La Rioja										
Alfaro	La Rioja										
Tías	Las Palmas										
Yaiza	Las Palmas										
Lanzarote Aeropuerto	Las Palmas	24.0 (14:30)	14.4 (07:50)	19,2	46 (15:50)	30 (21:10)	0	0	0	0	0
Haría	Las Palmas										
Tinajo	Las Palmas										
Pájara	Las Palmas	22.3 (15:30)	15.6 (05:40)	18,9	29 (18:30)	16 (12:50)	0	0	0	0	0
Tuineje,Puerto Gran Tarajal	Las Palmas										
Antigua	Las Palmas										
Fuerteventura Aeropuerto	Las Palmas	21.8 (13:20)	16.1 (06:40)	18,9	33 (19:40)	25 (19:40)	0	0	0	0	0
La Oliva	Las Palmas										
La Oliva, Puerto de Corralejo	Las Palmas										
Vega de San Mateo	Las Palmas										
Tejeda, Cruz de Tejeda	Las Palmas										
La Aldea de San Nicolás	Las Palmas										
Agaete	Las Palmas										
San Bartolome Tirajana, Cuevas del Pinar	Las Palmas										
San Bartolome Tirajana, Lomo Pedro Alfonso	Las Palmas										
La Aldea de San Nicolás, Tasarte	Las Palmas										
Mogán, Puerto Rico	Las Palmas										
Mogán, Puerto	Las Palmas				29 (15:40)	19 (18:10)			0	0	0
San Bartolome Tirajana, Las Tirajanas	Las Palmas										
Maspalomas, C. Insular Turismo	Las Palmas										
San Bartolome Tirajana, El Matorral	Las Palmas										
Agüimes	Las Palmas										
Telde, Centro Forestal Doramas	Las Palmas										
Gran Canaria Aeropuerto	Las Palmas	22.4 (13:20)	17.9 (03:10)	20,1	54 (16:40)	44 (16:20)					
Telde, Melenara	Las Palmas										
Teror	Las Palmas										
Las Palmas de Gran Canaria, Tafira	Las Palmas										
Las Palmas de Gran Canaria, San Cristobal	Las Palmas	20.9 (12:10)	17.5 (07:20)	19,2					0	0	0
Las Palmas de Gran Canaria, Pl. de la Feria	Las Palmas	21.9 (12:40)	18.1 (06:30)	20	22 (14:40)	12 (14:50)	0	0	0	0	0
Valleseco	Las Palmas										
Arucas	Las Palmas										
Maspalomas	Las Palmas	24.3 (12:50)	15.8 (07:10)	20	36 (12:30)	26 (12:40)	0	0	0	0	0
Teguise	Las Palmas	21.3 (14:10)	17.9 (00:20)	19,6	29 (06:20)	19 (06:20)	0	0	0	0	0
Posada de Valdeón, Soto	León										
Villablino	León										
Ponferrada	León	3.7 (15:20)	-0.7 (00:40)	1,5	14 (12:40)	9 (12:40)	4,2	0	0	1,8	2,4
Vega de Espinareda	León										
Riaño	León										
Cubillas de Rueda	León										
Puerto de San Isidro	León	2.8 (12:50)	-6.0 (03:00)	-1,6	27 (16:00)	19 (18:10)	4,2	0	0	1	3,2
León Aeropuerto	León	2.9 (16:00)	-4.8 (00:00)	-1	17 (14:10)	13 (14:20)	1,7	0	0	0,3	1,4
Valencia de Don Juan	León										
Barrios de Luna, Miñera	León										
Quintana del Castillo, Villameca	León										
Astorga	León										
Lagunas de Somoza	León	1.1 (15:40)	-3.4 (05:40)	-1,2					0,4	0,3	0,7
Bustillo del Páramo	León										
Martinet	Lleida										
Illes de Cerdanya,Cap de Rec	Lleida				32 (00:30)	14 (01:10)					
